age,lambda_final,lambda_init,delta_lambda,lambda_stage1_adult_extrapolated,z_P,note
9.3,-1.019778349995613,-1.616810917854309,0.5970325678586961,-1.3470784299718135,0.03333333333333341,lambda0/beta are single scalars shared across heads (not per-head)
9.4,-1.018752110004425,-1.616810917854309,0.5980588078498841,-1.3475776017056,0.04444444444444448,lambda0/beta are single scalars shared across heads (not per-head)
9.5,-1.017725870013237,-1.616810917854309,0.5990850478410721,-1.3480767734393866,0.05555555555555555,lambda0/beta are single scalars shared across heads (not per-head)
9.600000000000001,-1.016699630022049,-1.616810917854309,0.6001112878322601,-1.3485759451731731,0.06666666666666682,lambda0/beta are single scalars shared across heads (not per-head)
9.700000000000001,-1.015673390030861,-1.616810917854309,0.6011375278234481,-1.3490751169069597,0.07777777777777789,lambda0/beta are single scalars shared across heads (not per-head)
9.8,-1.0146471500396728,-1.616810917854309,0.6021637678146363,-1.3495742886407462,0.08888888888888896,lambda0/beta are single scalars shared across heads (not per-head)
9.9,-1.0136209100484848,-1.616810917854309,0.6031900078058243,-1.3500734603745328,0.10000000000000003,lambda0/beta are single scalars shared across heads (not per-head)
10.0,-1.0125946700572968,-1.616810917854309,0.6042162477970123,-1.3505726321083196,0.1111111111111111,lambda0/beta are single scalars shared across heads (not per-head)
10.100000000000001,-1.0115684300661087,-1.616810917854309,0.6052424877882003,-1.351071803842106,0.12222222222222238,lambda0/beta are single scalars shared across heads (not per-head)
10.200000000000001,-1.0105421900749207,-1.616810917854309,0.6062687277793883,-1.3515709755758927,0.13333333333333344,lambda0/beta are single scalars shared across heads (not per-head)
10.3,-1.0095159500837325,-1.616810917854309,0.6072949677705766,-1.352070147309679,0.14444444444444451,lambda0/beta are single scalars shared across heads (not per-head)
10.4,-1.0084897100925445,-1.616810917854309,0.6083212077617646,-1.3525693190434658,0.15555555555555559,lambda0/beta are single scalars shared across heads (not per-head)
10.5,-1.0074634701013565,-1.616810917854309,0.6093474477529526,-1.3530684907772523,0.16666666666666666,lambda0/beta are single scalars shared across heads (not per-head)
10.600000000000001,-1.0064372301101685,-1.616810917854309,0.6103736877441406,-1.3535676625110389,0.17777777777777792,lambda0/beta are single scalars shared across heads (not per-head)
10.700000000000001,-1.0054109901189805,-1.616810917854309,0.6113999277353286,-1.3540668342448254,0.188888888888889,lambda0/beta are single scalars shared across heads (not per-head)
10.8,-1.0043847501277923,-1.616810917854309,0.6124261677265168,-1.354566005978612,0.20000000000000007,lambda0/beta are single scalars shared across heads (not per-head)
10.9,-1.0033585101366043,-1.616810917854309,0.6134524077177048,-1.3550651777123985,0.21111111111111114,lambda0/beta are single scalars shared across heads (not per-head)
11.0,-1.0023322701454163,-1.616810917854309,0.6144786477088928,-1.355564349446185,0.2222222222222222,lambda0/beta are single scalars shared across heads (not per-head)
11.100000000000001,-1.0013060301542283,-1.616810917854309,0.6155048877000808,-1.3560635211799716,0.2333333333333335,lambda0/beta are single scalars shared across heads (not per-head)
11.200000000000001,-1.0002797901630402,-1.616810917854309,0.6165311276912688,-1.3565626929137582,0.24444444444444458,lambda0/beta are single scalars shared across heads (not per-head)
11.3,-0.9992535501718521,-1.616810917854309,0.617557367682457,-1.3570618646475447,0.25555555555555565,lambda0/beta are single scalars shared across heads (not per-head)
